n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,54,butterfly-check,recompute,15,7618085 ns,7362836,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,16,7611207 ns,7350919,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,17,7660041 ns,7400714,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,18,7619250 ns,7356957,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,19,7601582 ns,7345838,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,20,7672418 ns,7418547,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,21,7601584 ns,7341879,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,22,7600917 ns,7341077,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,23,7576709 ns,7328920,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,24,7579041 ns,7333626,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,25,7581835 ns,7327960,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,26,7580751 ns,7333833,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,27,7561833 ns,7318453,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,28,7622292 ns,7362543,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,29,7594375 ns,7351750,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,30,7595542 ns,7342960,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,1,7983541 ns,7739710,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,2,7997083 ns,7742883,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,3,7979915 ns,7732838,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,4,7993207 ns,7735254,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,5,7983833 ns,7736790,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,6,7977085 ns,7734205,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,7,7996791 ns,7749454,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,8,8012458 ns,7749834,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,9,8016710 ns,7761709,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,10,7986999 ns,7734704,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,stage-checksum,detect-only,11,8012332 ns,7753170,66,0,66,0,0,67584,67584,139264,151552,151552
